Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25194,TAPETE PARA HIGIENIZAR PINCÉIS DAZZLE,.00,.00,"R$ 29,90","R$ 14,95",100.00 %,,0,0,
25195,BATOM VINYLA - COR JAZZ,3.39,3.39,"R$ 33,90","R$ 11,90",184.87 %,,0,0,
25196,BATOM VINYLA - COR LADO B,3.39,3.39,"R$ 33,90","R$ 11,90",184.87 %,,0,0,
25197,BATOM VINYLA - COR NYC,3.39,3.39,"R$ 33,90","R$ 11,90",184.87 %,,0,0,
25198,BATOM VINYLA - COR RETRÔ,3.39,3.39,"R$ 33,90","R$ 11,90",184.87 %,,0,0,
25199,BATOM VINYLA - COR FRANK,3.39,3.39,"R$ 33,90","R$ 11,90",184.87 %,,0,0,
25200,MÁSCARA DE CÍLIOS EYEMAZING,12.00,12.00,"R$ 45,00","R$ 22,50",100.00 %,,0,0,
25201,BRUSH CLEANSER - HIGIENIZADOR DE PINCÉIS,8.80,8.80,"R$ 40,00","R$ 16,00",150.00 %,,0,0,
25205,BATOM HIDRATANTE NUDES FOR ALL - COR LILLIES,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25206,BATOM HIDRATANTE NUDES FOR ALL - COR VENUS,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25207,BATOM HIDRATANTE NUDES FOR ALL - COR NYMPH,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25208,BATOM HIDRATANTE NUDES FOR ALL - COR CHLOE,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
